id,score,overall_length,distinct_words_count,theme_gender_count,theme_gender_bool,theme_ethnicity_count,theme_ethnicity_bool,theme_sexuality_count,theme_sexuality_bool,theme_ability_count,theme_ability_bool,theme_age_count,theme_age_bool,theme_weight_count,theme_weight_bool,theme_appearance_count,theme_appearance_bool,theme_class_count,theme_class_bool,themes_found
2bdk38,0.0,100,45,1,True,0,False,1,True,0,False,0,False,0,False,0,False,1,True,"[('gender', 1), ('sexuality', 1), ('class', 1)]"
2bdj5w,0.0,8,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bdixp,0.0,15,5,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2bdgp9,13.0,17,7,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bddml,0.0,23,9,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2bddfb,21.0,310,96,17,True,17,True,1,True,0,False,2,True,0,False,0,False,3,True,"[('gender', 17), ('ethnicity', 17), ('class', 3), ('age', 2), ('sexuality', 1)]"
2bdd43,0.0,11,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bdb9i,3.0,8,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bdai4,4.0,13,7,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False,"[('ethnicity', 1)]"
2bd9zk,10.0,47,10,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2bd83g,10.0,15,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bd7y9,7.0,87,35,0,False,1,True,0,False,2,True,1,True,0,False,0,False,1,True,"[('ability', 2), ('ethnicity', 1), ('age', 1), ('class', 1)]"
2bd6pm,0.0,21,11,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bd6gx,33.0,199,80,13,True,0,False,6,True,0,False,0,False,0,False,2,True,0,False,"[('gender', 13), ('sexuality', 6), ('appearance', 2)]"
2bd3n1,0.0,16,3,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bd36h,0.0,11,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bd07t,13.0,13,5,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,"[('appearance', 1)]"
2bczq0,4931.0,30,15,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2bcy1r,2.0,54,22,3,True,0,False,3,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 3), ('sexuality', 3)]"
2bcxn5,4.0,429,94,2,True,12,True,1,True,0,False,0,False,0,False,0,False,2,True,"[('ethnicity', 12), ('gender', 2), ('class', 2), ('sexuality', 1)]"
2bcwyi,1.0,908,311,1,True,0,False,2,True,1,True,0,False,1,True,1,True,3,True,"[('class', 3), ('sexuality', 2), ('gender', 1), ('ability', 1), ('weight', 1), ('appearance', 1)]"
2bcu7z,9.0,15,9,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcrpg,0.0,36,10,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcr8e,0.0,11,3,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcqfq,0.0,13,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcoum,0.0,21,9,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2bclhq,0.0,62,20,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcksb,11.0,282,55,8,True,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('gender', 8), ('sexuality', 1)]"
2bcjv7,3.0,107,37,1,True,0,False,0,False,0,False,0,False,0,False,0,False,1,True,"[('gender', 1), ('class', 1)]"
2bciwo,1.0,32,16,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,"[('sexuality', 1)]"
2bci35,43.0,18,8,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 1)]"
2bcgwa,0.0,8,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bce7j,0.0,18,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcdm2,132.0,51,25,0,False,0,False,1,True,2,True,0,False,0,False,0,False,0,False,"[('ability', 2), ('sexuality', 1)]"
2bcdgo,1.0,9,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcd2n,13.0,12,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bcbyg,3.0,11,5,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bc9gu,0.0,12,4,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bc9b3,2.0,26,6,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bc51g,94.0,7,4,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,"[('ability', 1)]"
2bbzk5,4.0,75,23,2,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 2)]"
2bbyxs,0.0,65,24,0,False,0,False,0,False,0,False,0,False,0,False,3,True,0,False,"[('appearance', 3)]"
2bby1a,0.0,12,8,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bby15,10.0,26,10,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,[]
2bbxit,175.0,164,52,7,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,"[('gender', 7)]"
2bbv78,0.0,22,12,0,False,2,True,0,False,0,False,0,False,0,False,0,False,0,False,"[('ethnicity', 2)]"
